"","Partido","Gasto Total 2019"
"27","PT",24403717.45
"15","PP",17203843.64
"25","PSL",17006022.32
"13","PL",15559643.58
"23","PSD",15115067.24
"6","MDB",14891803.68
"24","PSDB",13140099.95
"31","REPUBLICANOS",12289676.98
"11","PDT",11972682.95
"3","DEM",11603098.85
"21","PSB",11083791.42
"33","SOLIDARIEDADE",5955240.36
"28","PTB",5127671.54
"14","PODE",4297308.06
"20","PROS",4289057.65
"26","PSOL",3935618.36
"10","PCdoB",3692130.13
"22","PSC",3445547.53
"2","CIDADANIA",2735684.61
"1","AVANTE",2504240.79
"9","PATRIOTA",1834650.47
"18","PR",1218771.7
"29","PV",1153484.79
"7","NOVO",822607.14
"19","PRB",621097.18
"30","REDE",341336.96
"17","PPS",218419.43
"12","PHS",180055.49
"8","PATRI",161737.83
"32","SDD",65330.33
"16","PPL",44925.75
"5","LIDMIN",32529.54
"4","LID.GOV-CD",11321.43
