numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,6,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,109.60,0.00,109.60
2019,6,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,24.80,0.00,24.80
2019,6,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,124.33,0.00,124.33
2019,6,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,162.41,0.00,162.41
2019,6,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,86.82,0.00,86.82
2019,6,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,64.52,0.00,64.52
2019,6,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,172.41,0.00,172.41
2019,6,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,31.66,0.00,31.66
2019,6,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,11.36,0.00,11.36
2019,6,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,53.46,0.00,53.46
2019,6,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,76.59,0.00,76.59
2019,6,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,56.12,0.00,56.12
2019,6,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,69.14,0.00,69.14
2019,6,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,82.06,0.00,82.06
2019,6,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,133.62,0.00,133.62
2019,6,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,41.03,0.00,41.03
2019,6,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,47.81,0.00,47.81
2019,6,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,68.43,0.00,68.43
2019,6,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,99.75,0.00,99.75
2019,6,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,15.62,0.00,15.62
2019,6,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,127.53,0.00,127.53
2019,6,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,49.67,0.00,49.67
2019,6,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,126.43,0.00,126.43
2019,6,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,28.24,0.00,28.24
2019,6,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,71.54,0.00,71.54
2019,6,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,42.15,0.00,42.15
2019,6,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,25.09,0.00,25.09
2019,6,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,147.29,0.00,147.29
2019,6,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,78.25,0.00,78.25
2019,6,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,127.38,0.00,127.38
