numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,7,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,131.25,0.00,131.25
2019,7,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,22.77,0.00,22.77
2019,7,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,109.82,0.00,109.82
2019,7,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,169.41,0.00,169.41
2019,7,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,30.66,0.00,30.66
2019,7,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,101.89,0.00,101.89
2019,7,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,112.37,0.00,112.37
2019,7,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,37.40,0.00,37.40
2019,7,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,16.65,0.00,16.65
2019,7,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,52.63,0.00,52.63
2019,7,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,82.48,0.00,82.48
2019,7,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,118.73,0.00,118.73
2019,7,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,56.53,0.00,56.53
2019,7,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,60.23,0.00,60.23
2019,7,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,92.97,0.00,92.97
2019,7,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,77.64,0.00,77.64
2019,7,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,57.88,0.00,57.88
2019,7,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,32.81,0.00,32.81
2019,7,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,94.32,0.00,94.32
2019,7,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,31.89,0.00,31.89
2019,7,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,154.46,0.00,154.46
2019,7,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,27.49,0.00,27.49
2019,7,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,136.41,0.00,136.41
2019,7,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,63.97,0.00,63.97
2019,7,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,58.72,0.00,58.72
2019,7,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,29.99,0.00,29.99
2019,7,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,168.94,0.00,168.94
2019,7,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,26.20,0.00,26.20
2019,7,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,87.45,0.00,87.45
2019,7,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,171.55,0.00,171.55
2019,7,,Leonardo Monteiro,PT,MG,TELEFONIA,00000000000006,RAMAL,152.90,0.00,152.90
2019,7,,Mário Heringer,PDT,MG,TELEFONIA,00000000000006,RAMAL,41.96,0.00,41.96
2019,7,,Odair Cunha,PT,MG,TELEFONIA,00000000000006,RAMAL,25.60,0.00,25.60
2019,7,,Patrus Ananias,PT,MG,TELEFONIA,00000000000006,RAMAL,98.15,0.00,98.15
2019,7,,Reginaldo Lopes,PT,MG,TELEFONIA,00000000000006,RAMAL,75.88,0.00,75.88
