numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,1,,DANILO FORTE,PSDB,CE,TELEFONIA,00000000000006,RAMAL,242.05,0.00,242.05
2019,1,,SILVIO COSTA,AVANTE,PE,TELEFONIA,00000000000006,RAMAL,151.77,0.00,151.77
2019,1,,IZALCI LUCAS,PSDB,DF,TELEFONIA,00000000000006,RAMAL,196.10,0.00,196.10
2019,1,,MARIA HELENA,MDB,RR,TELEFONIA,00000000000006,RAMAL,78.41,0.00,78.41
2019,1,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,58.21,0.00,58.21
2019,1,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,17.69,0.00,17.69
2019,1,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,116.27,0.00,116.27
2019,1,,JÚLIA MARINHO,PSC,PA,TELEFONIA,00000000000006,RAMAL,63.59,0.00,63.59
2019,1,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,45.33,0.00,45.33
2019,1,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,25.18,0.00,25.18
2019,1,,CELSO PANSERA,PT,RJ,TELEFONIA,00000000000006,RAMAL,44.89,0.00,44.89
2019,1,,SIMÃO SESSIM,PP,RJ,TELEFONIA,00000000000006,RAMAL,70.23,0.00,70.23
2019,1,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,130.51,0.00,130.51
2019,1,,ARNALDO FARIA DE SÁ,PP,SP,TELEFONIA,00000000000006,RAMAL,181.90,0.00,181.90
2019,1,,BETO MANSUR,MDB,SP,TELEFONIA,00000000000006,RAMAL,71.01,0.00,71.01
2019,1,,Celso Russomanno,PRB,SP,TELEFONIA,00000000000006,RAMAL,24.63,0.00,24.63
2019,1,,ALEX CANZIANI,PTB,PR,TELEFONIA,00000000000006,RAMAL,121.29,0.00,121.29
2019,1,,OSMAR SERRAGLIO,PP,PR,TELEFONIA,00000000000006,RAMAL,195.84,0.00,195.84
2019,1,,Rubens Bueno,PPS,PR,TELEFONIA,00000000000006,RAMAL,25.80,0.00,25.80
2019,1,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,60.42,0.00,60.42
2019,1,,LUIS CARLOS HEINZE,PP,RS,TELEFONIA,00000000000006,RAMAL,166.14,0.00,166.14
2019,1,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,64.21,0.00,64.21
2019,1,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,85.27,0.00,85.27
2019,1,,JORGE TADEU MUDALEN,DEM,SP,TELEFONIA,00000000000006,RAMAL,50.76,0.00,50.76
2019,1,,NELSON MARQUEZELLI,PTB,SP,TELEFONIA,00000000000006,RAMAL,72.38,0.00,72.38
2019,1,,SILVIO TORRES,PSDB,SP,TELEFONIA,00000000000006,RAMAL,26.36,0.00,26.36
2019,1,,CELSO JACOB,MDB,RJ,TELEFONIA,00000000000006,RAMAL,20.99,0.00,20.99
2019,1,,ALBERTO FRAGA,DEM,DF,TELEFONIA,00000000000006,RAMAL,43.56,0.00,43.56
2019,1,,ANTONIO CARLOS MENDES THAME,PV,SP,TELEFONIA,00000000000006,RAMAL,117.93,0.00,117.93
2019,1,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,99.75,0.00,99.75
2019,1,,AUGUSTO CARVALHO,SOLIDARIEDADE,DF,TELEFONIA,00000000000006,RAMAL,29.29,0.00,29.29
2019,1,,JOVAIR ARANTES,PTB,GO,TELEFONIA,00000000000006,RAMAL,247.28,0.00,247.28
2019,1,,ROBERTO BALESTRA,PP,GO,TELEFONIA,00000000000006,RAMAL,45.10,0.00,45.10
2019,1,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,32.06,0.00,32.06
2019,1,,JOSÉ REINALDO,PSDB,MA,TELEFONIA,00000000000006,RAMAL,46.60,0.00,46.60
2019,1,,CESAR SOUZA,PSD,SC,TELEFONIA,00000000000006,RAMAL,53.04,0.00,53.04
2019,1,,DILCEU SPERAFICO,PP,PR,TELEFONIA,00000000000006,RAMAL,39.02,0.00,39.02
