numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,9,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,69.54,0.00,69.54
2019,9,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,11.26,0.00,11.26
2019,9,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,69.87,0.00,69.87
2019,9,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,113.43,0.00,113.43
2019,9,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,42.05,0.00,42.05
2019,9,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,90.60,0.00,90.60
2019,9,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,88.12,0.00,88.12
2019,9,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,33.47,0.00,33.47
2019,9,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,14.76,0.00,14.76
2019,9,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,41.46,0.00,41.46
2019,9,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,57.76,0.00,57.76
2019,9,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,48.44,0.00,48.44
2019,9,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,38.14,0.00,38.14
2019,9,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,80.46,0.00,80.46
2019,9,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,129.47,0.00,129.47
2019,9,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,29.17,0.00,29.17
2019,9,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,47.98,0.00,47.98
2019,9,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,49.08,0.00,49.08
2019,9,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,73.03,0.00,73.03
