numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,8,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,149.81,0.00,149.81
2019,8,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,22.98,0.00,22.98
2019,8,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,88.54,0.00,88.54
2019,8,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,173.82,0.00,173.82
2019,8,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,60.14,0.00,60.14
2019,8,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,113.63,0.00,113.63
2019,8,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,96.81,0.00,96.81
2019,8,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,53.32,0.00,53.32
2019,8,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,24.65,0.00,24.65
2019,8,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,73.30,0.00,73.30
2019,8,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,88.69,0.00,88.69
2019,8,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,89.47,0.00,89.47
2019,8,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,69.95,0.00,69.95
2019,8,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,54.29,0.00,54.29
2019,8,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,178.44,0.00,178.44
2019,8,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,55.52,0.00,55.52
2019,8,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,76.71,0.00,76.71
2019,8,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,26.51,0.00,26.51
2019,8,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,141.14,0.00,141.14
2019,8,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,22.93,0.00,22.93
2019,8,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,138.29,0.00,138.29
2019,8,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,36.41,0.00,36.41
2019,8,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,105.51,0.00,105.51
2019,8,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,63.01,0.00,63.01
2019,8,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,30.31,0.00,30.31
2019,8,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,33.65,0.00,33.65
2019,8,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,185.34,0.00,185.34
2019,8,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,24.48,0.00,24.48
2019,8,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,77.19,0.00,77.19
2019,8,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,222.69,0.00,222.69
2019,8,,Leonardo Monteiro,PT,MG,TELEFONIA,00000000000006,RAMAL,121.54,0.00,121.54
2019,8,,Mário Heringer,PDT,MG,TELEFONIA,00000000000006,RAMAL,36.87,0.00,36.87
2019,8,,Odair Cunha,PT,MG,TELEFONIA,00000000000006,RAMAL,32.73,0.00,32.73
2019,8,,Patrus Ananias,PT,MG,TELEFONIA,00000000000006,RAMAL,63.20,0.00,63.20
2019,8,,Reginaldo Lopes,PT,MG,TELEFONIA,00000000000006,RAMAL,101.77,0.00,101.77
