numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,10,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,28.98,0.00,28.98
2019,10,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,4.18,0.00,4.18
2019,10,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,20.48,0.00,20.48
2019,10,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,35.33,0.00,35.33
2019,10,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,25.67,0.00,25.67
2019,10,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,18.24,0.00,18.24
2019,10,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,34.64,0.00,34.64
2019,10,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,12.82,0.00,12.82
2019,10,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,11.15,0.00,11.15
2019,10,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,13.47,0.00,13.47
2019,10,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,12.80,0.00,12.80
2019,10,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,12.68,0.00,12.68
2019,10,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,22.60,0.00,22.60
2019,10,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,15.86,0.00,15.86
2019,10,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,30.62,0.00,30.62
2019,10,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,24.21,0.00,24.21
2019,10,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,24.89,0.00,24.89
2019,10,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,12.52,0.00,12.52
2019,10,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,21.23,0.00,21.23
2019,10,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,4.37,0.00,4.37
2019,10,,Sérgio Brito,PSD,BA,TELEFONIA,00000000000006,RAMAL,18.76,0.00,18.76
2019,10,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,46.03,0.00,46.03
2019,10,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,14.90,0.00,14.90
2019,10,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,23.49,0.00,23.49
2019,10,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,18.09,0.00,18.09
2019,10,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,15.13,0.00,15.13
2019,10,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,13.56,0.00,13.56
2019,10,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,44.57,0.00,44.57
2019,10,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,9.93,0.00,9.93
2019,10,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,30.17,0.00,30.17
2019,10,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,35.65,0.00,35.65
2019,10,,Josias Gomes,PT,BA,TELEFONIA,00000000000006,RAMAL,3.46,0.00,3.46
2019,10,,Leonardo Monteiro,PT,MG,TELEFONIA,00000000000006,RAMAL,29.34,0.00,29.34
2019,10,,Mário Heringer,PDT,MG,TELEFONIA,00000000000006,RAMAL,20.18,0.00,20.18
2019,10,,Odair Cunha,PT,MG,TELEFONIA,00000000000006,RAMAL,8.82,0.00,8.82
2019,10,,Patrus Ananias,PT,MG,TELEFONIA,00000000000006,RAMAL,20.61,0.00,20.61
2019,10,,Reginaldo Lopes,PT,MG,TELEFONIA,00000000000006,RAMAL,14.04,0.00,14.04
2019,10,,Gastão Vieira,PROS,MA,TELEFONIA,00000000000006,RAMAL,44.77,0.00,44.77
2019,10,,Carlos Sampaio,PSDB,SP,TELEFONIA,00000000000006,RAMAL,9.04,0.00,9.04
2019,10,,Gilberto Nascimento,PSC,SP,TELEFONIA,00000000000006,RAMAL,3.76,0.00,3.76
2019,10,,Jefferson Campos,PSB,SP,TELEFONIA,00000000000006,RAMAL,9.48,0.00,9.48
2019,10,,Vicentinho,PT,SP,TELEFONIA,00000000000006,RAMAL,41.19,0.00,41.19
2019,10,,Leônidas Cristino,PDT,CE,TELEFONIA,00000000000006,RAMAL,20.32,0.00,20.32
2019,10,,Roberto Pessoa,PSDB,CE,TELEFONIA,00000000000006,RAMAL,26.21,0.00,26.21
2019,10,,Júlio Cesar,PSD,PI,TELEFONIA,00000000000006,RAMAL,22.48,0.00,22.48
2019,10,,Paes Landim,PTB,PI,TELEFONIA,00000000000006,RAMAL,11.68,0.00,11.68
2019,10,,Nilson Pinto,PSDB,PA,TELEFONIA,00000000000006,RAMAL,4.60,0.00,4.60
2019,10,,Silas Câmara,REPUBLICANOS,AM,TELEFONIA,00000000000006,RAMAL,31.45,0.00,31.45
2019,10,,João Campos,REPUBLICANOS,GO,TELEFONIA,00000000000006,RAMAL,41.87,0.00,41.87
2019,10,,Rubens Otoni,PT,GO,TELEFONIA,00000000000006,RAMAL,50.33,0.00,50.33
2019,10,,Vander Loubet,PT,MS,TELEFONIA,00000000000006,RAMAL,37.98,0.00,37.98
2019,10,,Giacobo,PL,PR,TELEFONIA,00000000000006,RAMAL,32.87,0.00,32.87
2019,10,,Maria do Rosário,PT,RS,TELEFONIA,00000000000006,RAMAL,13.64,0.00,13.64
2019,10,,Paulo Pimenta,PT,RS,TELEFONIA,00000000000006,RAMAL,5.21,0.00,5.21
2019,10,,Gonzaga Patriota,PSB,PE,TELEFONIA,00000000000006,RAMAL,53.48,0.00,53.48
2019,10,,Wolney Queiroz,PDT,PE,TELEFONIA,00000000000006,RAMAL,7.97,0.00,7.97
2019,10,,Átila Lira,PP,PI,TELEFONIA,00000000000006,RAMAL,70.68,0.00,70.68
2019,10,,Damião Feliciano,PDT,PB,TELEFONIA,00000000000006,RAMAL,31.57,0.00,31.57
2019,10,,André de Paula,PSD,PE,TELEFONIA,00000000000006,RAMAL,21.81,0.00,21.81
2019,10,,Luciano Bivar,PSL,PE,TELEFONIA,00000000000006,RAMAL,16.03,0.00,16.03
2019,10,,Claudio Cajado,PP,BA,TELEFONIA,00000000000006,RAMAL,30.66,0.00,30.66
2019,10,,José Rocha,PL,BA,TELEFONIA,00000000000006,RAMAL,34.41,0.00,34.41
2019,10,,Nelson Pellegrino,PT,BA,TELEFONIA,00000000000006,RAMAL,12.89,0.00,12.89
2019,10,,Paulo Magalhães,PSD,BA,TELEFONIA,00000000000006,RAMAL,2.99,0.00,2.99
2019,10,,Lincoln Portela,PL,MG,TELEFONIA,00000000000006,RAMAL,17.08,0.00,17.08
