numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,11,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,18.06,0.00,18.06
2019,11,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,3.62,0.00,3.62
2019,11,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,19.52,0.00,19.52
2019,11,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,26.92,0.00,26.92
2019,11,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,18.29,0.00,18.29
2019,11,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,26.49,0.00,26.49
2019,11,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,38.21,0.00,38.21
2019,11,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,9.61,0.00,9.61
2019,11,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,2.71,0.00,2.71
2019,11,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,9.60,0.00,9.60
2019,11,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,23.65,0.00,23.65
2019,11,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,13.58,0.00,13.58
2019,11,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,16.10,0.00,16.10
2019,11,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,11.21,0.00,11.21
2019,11,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,27.15,0.00,27.15
2019,11,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,10.56,0.00,10.56
2019,11,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,10.75,0.00,10.75
2019,11,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,8.48,0.00,8.48
2019,11,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,15.29,0.00,15.29
2019,11,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,3.44,0.00,3.44
2019,11,,Sérgio Brito,PSD,BA,TELEFONIA,00000000000006,RAMAL,12.98,0.00,12.98
2019,11,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,42.57,0.00,42.57
2019,11,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,6.97,0.00,6.97
2019,11,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,21.88,0.00,21.88
2019,11,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,13.59,0.00,13.59
2019,11,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,6.92,0.00,6.92
2019,11,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,12.27,0.00,12.27
2019,11,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,44.11,0.00,44.11
2019,11,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,5.49,0.00,5.49
2019,11,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,22.58,0.00,22.58
2019,11,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,44.76,0.00,44.76
2019,11,,Leonardo Monteiro,PT,MG,TELEFONIA,00000000000006,RAMAL,28.81,0.00,28.81
2019,11,,Mário Heringer,PDT,MG,TELEFONIA,00000000000006,RAMAL,16.15,0.00,16.15
2019,11,,Odair Cunha,PT,MG,TELEFONIA,00000000000006,RAMAL,8.63,0.00,8.63
2019,11,,Patrus Ananias,PT,MG,TELEFONIA,00000000000006,RAMAL,18.16,0.00,18.16
2019,11,,Reginaldo Lopes,PT,MG,TELEFONIA,00000000000006,RAMAL,23.14,0.00,23.14
2019,11,,Gastão Vieira,PROS,MA,TELEFONIA,00000000000006,RAMAL,42.91,0.00,42.91
2019,11,,Carlos Sampaio,PSDB,SP,TELEFONIA,00000000000006,RAMAL,5.79,0.00,5.79
2019,11,,Gilberto Nascimento,PSC,SP,TELEFONIA,00000000000006,RAMAL,4.27,0.00,4.27
2019,11,,Jefferson Campos,PSB,SP,TELEFONIA,00000000000006,RAMAL,12.79,0.00,12.79
2019,11,,Vicentinho,PT,SP,TELEFONIA,00000000000006,RAMAL,20.89,0.00,20.89
2019,11,,Leônidas Cristino,PDT,CE,TELEFONIA,00000000000006,RAMAL,9.52,0.00,9.52
2019,11,,Roberto Pessoa,PSDB,CE,TELEFONIA,00000000000006,RAMAL,22.89,0.00,22.89
2019,11,,Júlio Cesar,PSD,PI,TELEFONIA,00000000000006,RAMAL,28.55,0.00,28.55
2019,11,,Paes Landim,PTB,PI,TELEFONIA,00000000000006,RAMAL,14.87,0.00,14.87
2019,11,,Nilson Pinto,PSDB,PA,TELEFONIA,00000000000006,RAMAL,4.16,0.00,4.16
