numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,5,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,148.29,0.00,148.29
2019,5,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,48.58,0.00,48.58
2019,5,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,146.99,0.00,146.99
2019,5,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,119.99,0.00,119.99
2019,5,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,73.80,0.00,73.80
2019,5,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,86.39,0.00,86.39
2019,5,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,195.52,0.00,195.52
2019,5,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,32.35,0.00,32.35
2019,5,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,27.92,0.00,27.92
2019,5,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,58.07,0.00,58.07
2019,5,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,60.11,0.00,60.11
2019,5,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,93.46,0.00,93.46
2019,5,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,74.95,0.00,74.95
2019,5,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,108.59,0.00,108.59
2019,5,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,207.87,0.00,207.87
2019,5,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,79.89,0.00,79.89
2019,5,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,43.77,0.00,43.77
2019,5,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,28.70,0.00,28.70
2019,5,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,145.80,0.00,145.80
2019,5,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,31.73,0.00,31.73
2019,5,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,143.59,0.00,143.59
2019,5,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,53.47,0.00,53.47
2019,5,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,133.95,0.00,133.95
2019,5,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,49.41,0.00,49.41
2019,5,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,39.32,0.00,39.32
2019,5,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,36.60,0.00,36.60
