numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,4,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,158.38,0.00,158.38
2019,4,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,21.73,0.00,21.73
2019,4,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,134.05,0.00,134.05
2019,4,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,136.47,0.00,136.47
2019,4,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,76.14,0.00,76.14
2019,4,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,67.97,0.00,67.97
2019,4,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,226.25,0.00,226.25
2019,4,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,54.83,0.00,54.83
2019,4,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,37.03,0.00,37.03
2019,4,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,41.68,0.00,41.68
2019,4,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,83.85,0.00,83.85
2019,4,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,66.58,0.00,66.58
2019,4,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,65.52,0.00,65.52
2019,4,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,130.70,0.00,130.70
2019,4,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,83.27,0.00,83.27
2019,4,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,64.16,0.00,64.16
2019,4,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,74.40,0.00,74.40
2019,4,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,43.78,0.00,43.78
2019,4,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,111.37,0.00,111.37
2019,4,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,25.80,0.00,25.80
2019,4,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,93.59,0.00,93.59
2019,4,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,68.86,0.00,68.86
2019,4,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,122.88,0.00,122.88
2019,4,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,53.32,0.00,53.32
2019,4,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,24.16,0.00,24.16
2019,4,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,51.79,0.00,51.79
2019,4,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,190.52,0.00,190.52
2019,4,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,34.95,0.00,34.95
2019,4,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,107.52,0.00,107.52
2019,4,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,122.30,0.00,122.30
2019,4,,Leonardo Monteiro,PT,MG,TELEFONIA,00000000000006,RAMAL,218.98,0.00,218.98
2019,4,,Mário Heringer,PDT,MG,TELEFONIA,00000000000006,RAMAL,116.25,0.00,116.25
2019,4,,Odair Cunha,PT,MG,TELEFONIA,00000000000006,RAMAL,47.53,0.00,47.53
2019,4,,Patrus Ananias,PT,MG,TELEFONIA,00000000000006,RAMAL,83.72,0.00,83.72
2019,4,,Reginaldo Lopes,PT,MG,TELEFONIA,00000000000006,RAMAL,79.68,0.00,79.68
2019,4,,Gastão Vieira,PROS,MA,TELEFONIA,00000000000006,RAMAL,196.01,0.00,196.01
2019,4,,Carlos Sampaio,PSDB,SP,TELEFONIA,00000000000006,RAMAL,34.08,0.00,34.08
2019,4,,Gilberto Nascimento,PSC,SP,TELEFONIA,00000000000006,RAMAL,29.64,0.00,29.64
2019,4,,Jefferson Campos,PSB,SP,TELEFONIA,00000000000006,RAMAL,25.41,0.00,25.41
2019,4,,Vicentinho,PT,SP,TELEFONIA,00000000000006,RAMAL,91.83,0.00,91.83
2019,4,,Leônidas Cristino,PDT,CE,TELEFONIA,00000000000006,RAMAL,69.81,0.00,69.81
2019,4,,Roberto Pessoa,PSDB,CE,TELEFONIA,00000000000006,RAMAL,130.90,0.00,130.90
2019,4,,Júlio Cesar,PSD,PI,TELEFONIA,00000000000006,RAMAL,71.40,0.00,71.40
2019,4,,Nilson Pinto,PSDB,PA,TELEFONIA,00000000000006,RAMAL,31.72,0.00,31.72
2019,4,,Silas Câmara,REPUBLICANOS,AM,TELEFONIA,00000000000006,RAMAL,81.06,0.00,81.06
2019,4,,João Campos,REPUBLICANOS,GO,TELEFONIA,00000000000006,RAMAL,156.33,0.00,156.33
2019,4,,Rubens Otoni,PT,GO,TELEFONIA,00000000000006,RAMAL,112.11,0.00,112.11
2019,4,,Vander Loubet,PT,MS,TELEFONIA,00000000000006,RAMAL,180.00,0.00,180.00
2019,4,,Giacobo,PL,PR,TELEFONIA,00000000000006,RAMAL,110.84,0.00,110.84
2019,4,,Maria do Rosário,PT,RS,TELEFONIA,00000000000006,RAMAL,54.29,0.00,54.29
2019,4,,Paulo Pimenta,PT,RS,TELEFONIA,00000000000006,RAMAL,33.64,0.00,33.64
2019,4,,Gonzaga Patriota,PSB,PE,TELEFONIA,00000000000006,RAMAL,338.34,0.00,338.34
2019,4,,Wolney Queiroz,PDT,PE,TELEFONIA,00000000000006,RAMAL,49.34,0.00,49.34
2019,4,,Átila Lira,PP,PI,TELEFONIA,00000000000006,RAMAL,196.19,0.00,196.19
2019,4,,Damião Feliciano,PDT,PB,TELEFONIA,00000000000006,RAMAL,144.15,0.00,144.15
2019,4,,André de Paula,PSD,PE,TELEFONIA,00000000000006,RAMAL,68.93,0.00,68.93
2019,4,,Luciano Bivar,PSL,PE,TELEFONIA,00000000000006,RAMAL,63.28,0.00,63.28
2019,4,,Claudio Cajado,PP,BA,TELEFONIA,00000000000006,RAMAL,127.64,0.00,127.64
2019,4,,José Rocha,PL,BA,TELEFONIA,00000000000006,RAMAL,141.94,0.00,141.94
2019,4,,Nelson Pellegrino,PT,BA,TELEFONIA,00000000000006,RAMAL,51.02,0.00,51.02
2019,4,,Paulo Magalhães,PSD,BA,TELEFONIA,00000000000006,RAMAL,149.12,0.00,149.12
2019,4,,Lincoln Portela,PL,MG,TELEFONIA,00000000000006,RAMAL,80.47,0.00,80.47
2019,4,,Aécio Neves,PSDB,MG,TELEFONIA,00000000000006,RAMAL,60.42,0.00,60.42
2019,4,,Eduardo Barbosa,PSDB,MG,TELEFONIA,00000000000006,RAMAL,609.92,0.00,609.92
2019,4,,Rodrigo Maia,DEM,RJ,TELEFONIA,00000000000006,RAMAL,74.13,0.00,74.13
2019,4,,Mauro Lopes,MDB,MG,TELEFONIA,00000000000006,RAMAL,139.50,0.00,139.50
2019,4,,Luiza Erundina,PSOL,SP,TELEFONIA,00000000000006,RAMAL,57.60,0.00,57.60
2019,4,,Jandira Feghali,PCdoB,RJ,TELEFONIA,00000000000006,RAMAL,146.65,0.00,146.65
2019,4,,Maurício Dziedricki,PTB,RS,TELEFONIA,00000000000006,RAMAL,41.68,0.00,41.68
2019,4,,Marcelo Freixo,PSOL,RJ,TELEFONIA,00000000000006,RAMAL,16.36,0.00,16.36
2019,4,,Márcio Jerry,PCdoB,MA,TELEFONIA,00000000000006,RAMAL,73.29,0.00,73.29
2019,4,,Dra. Soraya Manato,PSL,ES,TELEFONIA,00000000000006,RAMAL,33.90,0.00,33.90
2019,4,,Pedro Augusto Bezerra,PTB,CE,TELEFONIA,00000000000006,RAMAL,182.04,0.00,182.04
2019,4,,Santini,PTB,RS,TELEFONIA,00000000000006,RAMAL,67.34,0.00,67.34
2019,4,,Leur Lomanto Júnior,DEM,BA,TELEFONIA,00000000000006,RAMAL,36.99,0.00,36.99
2019,4,,Eduardo Bolsonaro,PSL,SP,TELEFONIA,00000000000006,RAMAL,121.92,0.00,121.92
2019,4,,Fernando Monteiro,PP,PE,TELEFONIA,00000000000006,RAMAL,60.55,0.00,60.55
2019,4,,Stefano Aguiar,PSD,MG,TELEFONIA,00000000000006,RAMAL,171.62,0.00,171.62
2019,4,,Cacá Leão,PP,BA,TELEFONIA,00000000000006,RAMAL,40.71,0.00,40.71
2019,4,,Lafayette de Andrada,REPUBLICANOS,MG,TELEFONIA,00000000000006,RAMAL,118.99,0.00,118.99
2019,4,,Gleisi Hoffmann,PT,PR,TELEFONIA,00000000000006,RAMAL,86.87,0.00,86.87
2019,4,,Jaqueline Cassol,PP,RO,TELEFONIA,00000000000006,RAMAL,42.82,0.00,42.82
2019,4,,Benes Leocádio,REPUBLICANOS,RN,TELEFONIA,00000000000006,RAMAL,40.16,0.00,40.16
2019,4,,João Marcelo Souza,MDB,MA,TELEFONIA,00000000000006,RAMAL,126.18,0.00,126.18
2019,4,,Gelson Azevedo,PL,RJ,TELEFONIA,00000000000006,RAMAL,45.50,0.00,45.50
2019,4,,Darci de Matos,PSD,SC,TELEFONIA,00000000000006,RAMAL,140.63,0.00,140.63
2019,4,,Adriano do Baldy,PP,GO,TELEFONIA,00000000000006,RAMAL,188.36,0.00,188.36
2019,4,,Pedro Paulo,DEM,RJ,TELEFONIA,00000000000006,RAMAL,36.24,0.00,36.24
2019,4,,Pedro Lucas Fernandes,PTB,MA,TELEFONIA,00000000000006,RAMAL,60.42,0.00,60.42
2019,4,,Enio Verri,PT,PR,TELEFONIA,00000000000006,RAMAL,47.73,0.00,47.73
2019,4,,André Figueiredo,PDT,CE,TELEFONIA,00000000000006,RAMAL,47.77,0.00,47.77
2019,4,,Marcelo Moraes,PTB,RS,TELEFONIA,00000000000006,RAMAL,79.01,0.00,79.01
2019,4,,Paulo Ramos,PDT,RJ,TELEFONIA,00000000000006,RAMAL,18.01,0.00,18.01
2019,4,,Edmilson Rodrigues,PSOL,PA,TELEFONIA,00000000000006,RAMAL,6.25,0.00,6.25
2019,4,,Cristiano Vale,PL,PA,TELEFONIA,00000000000006,RAMAL,116.13,0.00,116.13
2019,4,,Afonso Hamm,PP,RS,TELEFONIA,00000000000006,RAMAL,122.49,0.00,122.49
2019,4,,Vicentinho Júnior,PL,TO,TELEFONIA,00000000000006,RAMAL,171.79,0.00,171.79
2019,4,,Lídice da Mata,PSB,BA,TELEFONIA,00000000000006,RAMAL,191.96,0.00,191.96
2019,4,,Beto Faro,PT,PA,TELEFONIA,00000000000006,RAMAL,61.97,0.00,61.97
2019,4,,Arnaldo Jardim,CIDADANIA,SP,TELEFONIA,00000000000006,RAMAL,343.89,0.00,343.89
2019,4,,Carlos Zarattini,PT,SP,TELEFONIA,00000000000006,RAMAL,80.17,0.00,80.17
2019,4,,Celso Maldaner,MDB,SC,TELEFONIA,00000000000006,RAMAL,38.53,0.00,38.53
2019,4,,Cleber Verde,REPUBLICANOS,MA,TELEFONIA,00000000000006,RAMAL,136.27,0.00,136.27
2019,4,,Dagoberto Nogueira,PDT,MS,TELEFONIA,00000000000006,RAMAL,70.60,0.00,70.60
2019,4,,Edio Lopes,PL,RR,TELEFONIA,00000000000006,RAMAL,116.06,0.00,116.06
