numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,12,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,18.47,0.00,18.47
2019,12,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,4.22,0.00,4.22
2019,12,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,24.18,0.00,24.18
2019,12,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,37.90,0.00,37.90
2019,12,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,13.65,0.00,13.65
2019,12,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,19.55,0.00,19.55
2019,12,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,40.52,0.00,40.52
2019,12,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,6.60,0.00,6.60
2019,12,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,4.71,0.00,4.71
2019,12,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,7.36,0.00,7.36
2019,12,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,4.78,0.00,4.78
2019,12,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,14.21,0.00,14.21
2019,12,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,13.65,0.00,13.65
2019,12,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,12.71,0.00,12.71
2019,12,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,19.99,0.00,19.99
2019,12,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,16.32,0.00,16.32
2019,12,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,8.53,0.00,8.53
2019,12,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,5.39,0.00,5.39
2019,12,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,29.20,0.00,29.20
2019,12,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,4.33,0.00,4.33
2019,12,,Sérgio Brito,PSD,BA,TELEFONIA,00000000000006,RAMAL,6.76,0.00,6.76
2019,12,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,49.79,0.00,49.79
2019,12,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,6.08,0.00,6.08
2019,12,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,44.88,0.00,44.88
2019,12,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,8.23,0.00,8.23
2019,12,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,7.74,0.00,7.74
2019,12,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,7.19,0.00,7.19
2019,12,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,32.06,0.00,32.06
2019,12,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,4.49,0.00,4.49
2019,12,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,21.42,0.00,21.42
2019,12,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,34.43,0.00,34.43
2019,12,,Leonardo Monteiro,PT,MG,TELEFONIA,00000000000006,RAMAL,21.89,0.00,21.89
2019,12,,Mário Heringer,PDT,MG,TELEFONIA,00000000000006,RAMAL,8.49,0.00,8.49
2019,12,,Odair Cunha,PT,MG,TELEFONIA,00000000000006,RAMAL,5.46,0.00,5.46
2019,12,,Patrus Ananias,PT,MG,TELEFONIA,00000000000006,RAMAL,14.65,0.00,14.65
2019,12,,Reginaldo Lopes,PT,MG,TELEFONIA,00000000000006,RAMAL,14.80,0.00,14.80
2019,12,,Gastão Vieira,PROS,MA,TELEFONIA,00000000000006,RAMAL,36.73,0.00,36.73
2019,12,,Carlos Sampaio,PSDB,SP,TELEFONIA,00000000000006,RAMAL,12.29,0.00,12.29
2019,12,,Gilberto Nascimento,PSC,SP,TELEFONIA,00000000000006,RAMAL,3.86,0.00,3.86
2019,12,,Jefferson Campos,PSB,SP,TELEFONIA,00000000000006,RAMAL,8.44,0.00,8.44
2019,12,,Vicentinho,PT,SP,TELEFONIA,00000000000006,RAMAL,25.52,0.00,25.52
2019,12,,Leônidas Cristino,PDT,CE,TELEFONIA,00000000000006,RAMAL,15.06,0.00,15.06
