numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,3,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,170.87,0.00,170.87
2019,3,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,31.24,0.00,31.24
2019,3,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,117.52,0.00,117.52
2019,3,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,106.39,0.00,106.39
2019,3,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,57.67,0.00,57.67
2019,3,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,88.33,0.00,88.33
2019,3,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,189.14,0.00,189.14
2019,3,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,66.55,0.00,66.55
2019,3,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,25.67,0.00,25.67
2019,3,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,56.41,0.00,56.41
2019,3,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,110.92,0.00,110.92
2019,3,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,91.31,0.00,91.31
2019,3,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,71.92,0.00,71.92
2019,3,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,93.92,0.00,93.92
2019,3,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,101.41,0.00,101.41
2019,3,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,60.92,0.00,60.92
2019,3,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,94.90,0.00,94.90
2019,3,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,60.28,0.00,60.28
2019,3,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,134.29,0.00,134.29
2019,3,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,32.39,0.00,32.39
2019,3,,Sérgio Brito,PSD,BA,TELEFONIA,00000000000006,RAMAL,28.03,0.00,28.03
2019,3,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,89.68,0.00,89.68
2019,3,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,83.34,0.00,83.34
2019,3,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,129.02,0.00,129.02
2019,3,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,42.91,0.00,42.91
2019,3,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,30.17,0.00,30.17
2019,3,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,27.68,0.00,27.68
2019,3,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,186.61,0.00,186.61
2019,3,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,23.45,0.00,23.45
2019,3,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,63.44,0.00,63.44
2019,3,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,136.97,0.00,136.97
