numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,2,,Norma Ayub,DEM,ES,TELEFONIA,00000000000006,RAMAL,111.63,0.00,111.63
2019,2,,Fausto Pinato,PP,SP,TELEFONIA,00000000000006,RAMAL,27.55,0.00,27.55
2019,2,,Iracema Portella,PP,PI,TELEFONIA,00000000000006,RAMAL,127.74,0.00,127.74
2019,2,,Fábio Henrique,PDT,SE,TELEFONIA,00000000000006,RAMAL,147.22,0.00,147.22
2019,2,,Bacelar,PODE,BA,TELEFONIA,00000000000006,RAMAL,84.57,0.00,84.57
2019,2,,Felipe Carreras,PSB,PE,TELEFONIA,00000000000006,RAMAL,74.61,0.00,74.61
2019,2,,Arlindo Chinaglia,PT,SP,TELEFONIA,00000000000006,RAMAL,213.25,0.00,213.25
2019,2,,Celso Russomanno,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,55.63,0.00,55.63
2019,2,,Gustavo Fruet,PDT,PR,TELEFONIA,00000000000006,RAMAL,14.00,0.00,14.00
2019,2,,Rubens Bueno,CIDADANIA,PR,TELEFONIA,00000000000006,RAMAL,73.80,0.00,73.80
2019,2,,Henrique Fontana,PT,RS,TELEFONIA,00000000000006,RAMAL,123.91,0.00,123.91
2019,2,,Pompeo de Mattos,PDT,RS,TELEFONIA,00000000000006,RAMAL,113.83,0.00,113.83
2019,2,,Ivan Valente,PSOL,SP,TELEFONIA,00000000000006,RAMAL,59.33,0.00,59.33
2019,2,,Júlio Delgado,PSB,MG,TELEFONIA,00000000000006,RAMAL,151.06,0.00,151.06
2019,2,,Rui Falcão,PT,SP,TELEFONIA,00000000000006,RAMAL,64.84,0.00,64.84
2019,2,,Osmar Terra,MDB,RS,TELEFONIA,00000000000006,RAMAL,16.50,0.00,16.50
2019,2,,Angela Amin,PP,SC,TELEFONIA,00000000000006,RAMAL,79.65,0.00,79.65
2019,2,,Benedita da Silva,PT,RJ,TELEFONIA,00000000000006,RAMAL,129.00,0.00,129.00
2019,2,,Hermes Parcianello,MDB,PR,TELEFONIA,00000000000006,RAMAL,32.64,0.00,32.64
2019,2,,Ricardo Barros,PP,PR,TELEFONIA,00000000000006,RAMAL,110.51,0.00,110.51
2019,2,,Renildo Calheiros,PCdoB,PE,TELEFONIA,00000000000006,RAMAL,29.36,0.00,29.36
2019,2,,Sérgio Brito,PSD,BA,TELEFONIA,00000000000006,RAMAL,114.24,0.00,114.24
2019,2,,Darcísio Perondi,MDB,RS,TELEFONIA,00000000000006,RAMAL,67.23,0.00,67.23
2019,2,,Perpétua Almeida,PCdoB,AC,TELEFONIA,00000000000006,RAMAL,75.67,0.00,75.67
2019,2,,Wellington Roberto,PL,PB,TELEFONIA,00000000000006,RAMAL,145.80,0.00,145.80
2019,2,,Wilson Santiago,PTB,PB,TELEFONIA,00000000000006,RAMAL,56.61,0.00,56.61
2019,2,,Bosco Costa,PL,SE,TELEFONIA,00000000000006,RAMAL,63.33,0.00,63.33
2019,2,,Alice Portugal,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,31.09,0.00,31.09
2019,2,,Daniel Almeida,PCdoB,BA,TELEFONIA,00000000000006,RAMAL,160.45,0.00,160.45
2019,2,,Elcione Barbalho,MDB,PA,TELEFONIA,00000000000006,RAMAL,31.57,0.00,31.57
2019,2,,José Priante,MDB,PA,TELEFONIA,00000000000006,RAMAL,137.20,0.00,137.20
2019,2,,Átila Lins,PP,AM,TELEFONIA,00000000000006,RAMAL,163.90,0.00,163.90
2019,2,,Josias Gomes,PT,BA,TELEFONIA,00000000000006,RAMAL,35.10,0.00,35.10
2019,2,,Leonardo Monteiro,PT,MG,TELEFONIA,00000000000006,RAMAL,97.77,0.00,97.77
2019,2,,Mário Heringer,PDT,MG,TELEFONIA,00000000000006,RAMAL,68.47,0.00,68.47
2019,2,,Odair Cunha,PT,MG,TELEFONIA,00000000000006,RAMAL,43.13,0.00,43.13
2019,2,,Patrus Ananias,PT,MG,TELEFONIA,00000000000006,RAMAL,40.91,0.00,40.91
2019,2,,Reginaldo Lopes,PT,MG,TELEFONIA,00000000000006,RAMAL,81.60,0.00,81.60
2019,2,,Carlos Sampaio,PSDB,SP,TELEFONIA,00000000000006,RAMAL,36.82,0.00,36.82
2019,2,,Gilberto Nascimento,PSC,SP,TELEFONIA,00000000000006,RAMAL,27.92,0.00,27.92
2019,2,,Jefferson Campos,PSB,SP,TELEFONIA,00000000000006,RAMAL,27.68,0.00,27.68
2019,2,,Vicentinho,PT,SP,TELEFONIA,00000000000006,RAMAL,138.14,0.00,138.14
2019,2,,Leônidas Cristino,PDT,CE,TELEFONIA,00000000000006,RAMAL,51.99,0.00,51.99
2019,2,,Roberto Pessoa,PSDB,CE,TELEFONIA,00000000000006,RAMAL,131.97,0.00,131.97
2019,2,,Júlio Cesar,PSD,PI,TELEFONIA,00000000000006,RAMAL,101.46,0.00,101.46
2019,2,,Nilson Pinto,PSDB,PA,TELEFONIA,00000000000006,RAMAL,45.31,0.00,45.31
2019,2,,Silas Câmara,REPUBLICANOS,AM,TELEFONIA,00000000000006,RAMAL,101.25,0.00,101.25
2019,2,,João Campos,REPUBLICANOS,GO,TELEFONIA,00000000000006,RAMAL,177.59,0.00,177.59
2019,2,,Rubens Otoni,PT,GO,TELEFONIA,00000000000006,RAMAL,153.16,0.00,153.16
2019,2,,Vander Loubet,PT,MS,TELEFONIA,00000000000006,RAMAL,266.91,0.00,266.91
2019,2,,Giacobo,PL,PR,TELEFONIA,00000000000006,RAMAL,63.13,0.00,63.13
2019,2,,Maria do Rosário,PT,RS,TELEFONIA,00000000000006,RAMAL,53.92,0.00,53.92
2019,2,,Onyx Lorenzoni,DEM,RS,TELEFONIA,00000000000006,RAMAL,0.01,0.00,0.01
2019,2,,Paulo Pimenta,PT,RS,TELEFONIA,00000000000006,RAMAL,44.81,0.00,44.81
2019,2,,Gonzaga Patriota,PSB,PE,TELEFONIA,00000000000006,RAMAL,247.88,0.00,247.88
2019,2,,Wolney Queiroz,PDT,PE,TELEFONIA,00000000000006,RAMAL,17.93,0.00,17.93
2019,2,,Átila Lira,PP,PI,TELEFONIA,00000000000006,RAMAL,149.54,0.00,149.54
2019,2,,Damião Feliciano,PDT,PB,TELEFONIA,00000000000006,RAMAL,125.63,0.00,125.63
2019,2,,André de Paula,PSD,PE,TELEFONIA,00000000000006,RAMAL,63.97,0.00,63.97
2019,2,,Luciano Bivar,PSL,PE,TELEFONIA,00000000000006,RAMAL,34.20,0.00,34.20
2019,2,,Claudio Cajado,PP,BA,TELEFONIA,00000000000006,RAMAL,114.72,0.00,114.72
2019,2,,José Rocha,PL,BA,TELEFONIA,00000000000006,RAMAL,159.11,0.00,159.11
2019,2,,Nelson Pellegrino,PT,BA,TELEFONIA,00000000000006,RAMAL,63.07,0.00,63.07
2019,2,,Lincoln Portela,PL,MG,TELEFONIA,00000000000006,RAMAL,112.92,0.00,112.92
2019,2,,Aécio Neves,PSDB,MG,TELEFONIA,00000000000006,RAMAL,60.65,0.00,60.65
2019,2,,Eduardo Barbosa,PSDB,MG,TELEFONIA,00000000000006,RAMAL,311.30,0.00,311.30
2019,2,,Rodrigo Maia,DEM,RJ,TELEFONIA,00000000000006,RAMAL,56.29,0.00,56.29
2019,2,,Mauro Lopes,MDB,MG,TELEFONIA,00000000000006,RAMAL,116.98,0.00,116.98
2019,2,,Luiza Erundina,PSOL,SP,TELEFONIA,00000000000006,RAMAL,51.71,0.00,51.71
2019,2,,Jandira Feghali,PCdoB,RJ,TELEFONIA,00000000000006,RAMAL,120.64,0.00,120.64
2019,2,,Maurício Dziedricki,PTB,RS,TELEFONIA,00000000000006,RAMAL,18.75,0.00,18.75
2019,2,,Marcelo Freixo,PSOL,RJ,TELEFONIA,00000000000006,RAMAL,36.04,0.00,36.04
2019,2,,Márcio Jerry,PCdoB,MA,TELEFONIA,00000000000006,RAMAL,96.82,0.00,96.82
2019,2,,Dra. Soraya Manato,PSL,ES,TELEFONIA,00000000000006,RAMAL,59.03,0.00,59.03
2019,2,,Pedro Augusto Bezerra,PTB,CE,TELEFONIA,00000000000006,RAMAL,116.02,0.00,116.02
2019,2,,Santini,PTB,RS,TELEFONIA,00000000000006,RAMAL,73.39,0.00,73.39
